Date,Year,Month,Day,Title,Tasks,Requesting NGO (project),Region mapped,City,Place,Whom is confirmed to go,Mapathon Partner,Nb PREVU de participants,Nb REEL de participants,"Stats contribution
Batiments","Stats contribution
nombre de Routes","Stats contribution
Route (km)"
15/12/2017,2017,12,15,Mapathon la cordée de la réussite,3946,,Congo,Paris,Télécom,Colin,Cordée de la réussite ,,10,500 bâtiments,,
13/12/2017,2017,12,13,Mapathon aux subsistances pour HI ,3941,,Tchad,Lyon,Subsistances ,"Martin, Colin",Handicap Internatinal,56,56,1455 bâtiments,,
19/11/2017,2017,11,19,Mapathon de cloture de l'OSMGeoweek à Villeurbanne @ CCO,"3720, 3831","OSM MADA, OSM Burkina Faso","Madagascar, Burkina Faso",Lyon,CCO,"Violaine, Colin",OSM Geoweek,40,40,3000 bâtiments ,150 KM de route,
16/11/2017,2017,11,16,Mapathon Paris ,3720,OSM Mada,Madagascar,Paris,LLL,Colin,OSM Geoweek,28,17,1325 bâtiments,,
15/11/2017,2017,11,15,Mapathon Grenoble à la Péniche ,1075,OSM Mali,Mali,Grenoble,La péniche,Colin,OSM Geoweek,26,33,6083 bâtiments,,
14/11/2017,2017,11,14,Mapathon Saint Etienne à Open Factory,102 (francophone),OSM Sénégal ,Sénégal,Saint Etienne,OpenFactory,Colin,OSM Geoweek,18,19,3053 bâtiments,,
13/11/2017,2017,11,13,Mapathon d'ouverture à l'OSMGeoWeek Chambéry @ Le MUG,3831,OSM Burkina Faso,Burkina Faso,Chambéry,Le Mug,"Colin, Martin",OSM Geoweek,14,17,2643 batiments,75 km routes,
26/10/2017,2017,10,26,Mapathon Paris @ Ess'pace,3730,,Bangladesh,Paris,Ess'pace,Colin,Techfugees,60,40,5723 batiments,,
24/10/2017,2017,10,24,Mapathon Lyon @ La Tour du Web,"3703, 3686",,Madagascar,Lyon,La Tour du We,"Violaine, Colin",,10,12,1273 batiments,,
19/10/2017,2017,10,19,Mapathon Brest @ UBO,3720,OSM Mada,Madagascar,Brest,UBO OpenFactory,"Violaine, Colin",Tiriad ,45,45,2751 batiments,,
28/09/2017,2017,9,28,Mapathon validation Lyon l'atelier des média s,3110,,Madagascar,Lyon,L'atelier des médias,"Violaine, Colin",,7,4,407 bâtiments ,10.9 km de route ,
